Scenario	TimeScale	Month	EndUse	Metric	Value	Unit
Baseline	Monthly	Jan	Equip	Energy	74539.29087	kWh
Baseline	Monthly	Feb	Equip	Energy	67562.70699	kWh
Baseline	Monthly	Mar	Equip	Energy	76375.23399	kWh
Baseline	Monthly	Apr	Equip	Energy	69765.83874	kWh
Baseline	Monthly	May	Equip	Energy	76375.23399	kWh
Baseline	Monthly	Jun	Equip	Energy	73437.72499	kWh
Baseline	Monthly	Jul	Equip	Energy	72703.34774	kWh
Baseline	Monthly	Aug	Equip	Energy	76375.23399	kWh
Baseline	Monthly	Sept	Equip	Energy	71601.78187	kWh
Baseline	Monthly	Oct	Equip	Energy	74539.29087	kWh
Baseline	Monthly	Nov	Equip	Energy	73437.72499	kWh
Baseline	Monthly	Dec	Equip	Energy	72703.34774	kWh
Baseline	Monthly	Jan	Fans	Energy	2798.272495	kWh
Baseline	Monthly	Feb	Fans	Energy	1957.906935	kWh
Baseline	Monthly	Mar	Fans	Energy	1413.76574	kWh
Baseline	Monthly	Apr	Fans	Energy	597.771305	kWh
Baseline	Monthly	May	Fans	Energy	357.011185	kWh
Baseline	Monthly	Jun	Fans	Energy	383.2079634	kWh
Baseline	Monthly	Jul	Fans	Energy	676.0199565	kWh
Baseline	Monthly	Aug	Fans	Energy	418.7870588	kWh
Baseline	Monthly	Sept	Fans	Energy	470.8266384	kWh
Baseline	Monthly	Oct	Fans	Energy	678.9403998	kWh
Baseline	Monthly	Nov	Fans	Energy	1622.700466	kWh
Baseline	Monthly	Dec	Fans	Energy	2453.296884	kWh
Baseline	Monthly	Jan	Light	Energy	137324.879	kWh
Baseline	Monthly	Feb	Light	Energy	122934.593	kWh
Baseline	Monthly	Mar	Light	Energy	137324.879	kWh
Baseline	Monthly	Apr	Light	Energy	129684.4313	kWh
Baseline	Monthly	May	Light	Energy	137324.879	kWh
Baseline	Monthly	Jun	Light	Energy	132528.117	kWh
Baseline	Monthly	Jul	Light	Energy	82044.65185	kWh
Baseline	Monthly	Aug	Light	Energy	82871.54749	kWh
Baseline	Monthly	Sept	Light	Energy	129684.4313	kWh
Baseline	Monthly	Oct	Light	Energy	137324.879	kWh
Baseline	Monthly	Nov	Light	Energy	132528.117	kWh
Baseline	Monthly	Dec	Light	Energy	134481.1933	kWh
Baseline	Monthly	Jan	HotWater	Energy	73819.20626	kWh
Baseline	Monthly	Feb	HotWater	Energy	66083.68523	kWh
Baseline	Monthly	Mar	HotWater	Energy	73819.20626	kWh
Baseline	Monthly	Apr	HotWater	Energy	69712.0715	kWh
Baseline	Monthly	May	HotWater	Energy	73819.20626	kWh
Baseline	Monthly	Jun	HotWater	Energy	71240.69925	kWh
Baseline	Monthly	Jul	HotWater	Energy	44120.55699	kWh
Baseline	Monthly	Aug	HotWater	Energy	44565.72237	kWh
Baseline	Monthly	Sept	HotWater	Energy	69712.0715	kWh
Baseline	Monthly	Oct	HotWater	Energy	73819.20626	kWh
Baseline	Monthly	Nov	HotWater	Energy	71240.69925	kWh
Baseline	Monthly	Dec	HotWater	Energy	72290.5785	kWh
Baseline	Monthly	Jan	Heat	Energy	1539478.391	kWh
Baseline	Monthly	Feb	Heat	Energy	1101997.323	kWh
Baseline	Monthly	Mar	Heat	Energy	811735.3844	kWh
Baseline	Monthly	Apr	Heat	Energy	300733.923	kWh
Baseline	Monthly	May	Heat	Energy	85774.84058	kWh
Baseline	Monthly	Jun	Heat	Energy	1871.263315	kWh
Baseline	Monthly	Jul	Heat	Energy	54.39075562	kWh
Baseline	Monthly	Aug	Heat	Energy	3194.920249	kWh
Baseline	Monthly	Sept	Heat	Energy	19144.88205	kWh
Baseline	Monthly	Oct	Heat	Energy	318502.8504	kWh
Baseline	Monthly	Nov	Heat	Energy	893802.1099	kWh
Baseline	Monthly	Dec	Heat	Energy	1310581.85	kWh
Baseline	Monthly	Jan	Cool	Energy	242.346513	kWh
Baseline	Monthly	Feb	Cool	Energy	0.249479652	kWh
Baseline	Monthly	Mar	Cool	Energy	19.80699028	kWh
Baseline	Monthly	Apr	Cool	Energy	2727.273082	kWh
Baseline	Monthly	May	Cool	Energy	17014.31636	kWh
Baseline	Monthly	Jun	Cool	Energy	62752.79443	kWh
Baseline	Monthly	Jul	Cool	Energy	144427.7816	kWh
Baseline	Monthly	Aug	Cool	Energy	83474.17369	kWh
Baseline	Monthly	Sept	Cool	Energy	71188.24247	kWh
Baseline	Monthly	Oct	Cool	Energy	4566.690787	kWh
Baseline	Monthly	Nov	Cool	Energy	486.9530364	kWh
Baseline	Monthly	Dec	Cool	Energy	943.9136885	kWh
Baseline	Annual		Total	Energy	9968261.443	kWh
Baseline	Annual		Total	Operational_CO2	4276376.817	kgCO2e
Baseline	Annual		Embodied	Embodied_CO2	7197859.556	kgCO2e
Baseline	Annual		Total	Total_CO2	11474236.37	kgCO2e
Baseline	Annual		Equip	Operational_CO2	377269.1409	kgCO2e
Baseline	Annual		Fans	Operational_CO2	5932.419329	kgCO2e
Baseline	Annual		Light	Operational_CO2	641807.1787	kgCO2e
Baseline	Annual		HotWater	Operational_CO2	345019.6158	kgCO2e
Baseline	Annual		Heat	Operational_CO2	2739963.439	kgCO2e
Baseline	Annual		Cool	Operational_CO2	166385.0229	kgCO2e
