Scenario	TimeScale	Month	EndUse	Metric	Value	Unit
Passive Building PV	Monthly	Jan	Equip	Energy	74539.29087	kWh
Passive Building PV	Monthly	Feb	Equip	Energy	67562.70699	kWh
Passive Building PV	Monthly	Mar	Equip	Energy	76375.23399	kWh
Passive Building PV	Monthly	Apr	Equip	Energy	69765.83874	kWh
Passive Building PV	Monthly	May	Equip	Energy	76375.23399	kWh
Passive Building PV	Monthly	Jun	Equip	Energy	73437.72499	kWh
Passive Building PV	Monthly	Jul	Equip	Energy	72703.34774	kWh
Passive Building PV	Monthly	Aug	Equip	Energy	76375.23399	kWh
Passive Building PV	Monthly	Sept	Equip	Energy	71601.78187	kWh
Passive Building PV	Monthly	Oct	Equip	Energy	74539.29087	kWh
Passive Building PV	Monthly	Nov	Equip	Energy	73437.72499	kWh
Passive Building PV	Monthly	Dec	Equip	Energy	72703.34774	kWh
Passive Building PV	Monthly	Jan	Fans	Energy	2546.32096	kWh
Passive Building PV	Monthly	Feb	Fans	Energy	1765.706603	kWh
Passive Building PV	Monthly	Mar	Fans	Energy	1250.705166	kWh
Passive Building PV	Monthly	Apr	Fans	Energy	714.4295438	kWh
Passive Building PV	Monthly	May	Fans	Energy	721.9314837	kWh
Passive Building PV	Monthly	Jun	Fans	Energy	1011.755336	kWh
Passive Building PV	Monthly	Jul	Fans	Energy	1295.19486	kWh
Passive Building PV	Monthly	Aug	Fans	Energy	975.7663417	kWh
Passive Building PV	Monthly	Sept	Fans	Energy	923.5148906	kWh
Passive Building PV	Monthly	Oct	Fans	Energy	663.1506933	kWh
Passive Building PV	Monthly	Nov	Fans	Energy	1475.918906	kWh
Passive Building PV	Monthly	Dec	Fans	Energy	2263.637383	kWh
Passive Building PV	Monthly	Jan	Light	Energy	137324.879	kWh
Passive Building PV	Monthly	Feb	Light	Energy	122934.593	kWh
Passive Building PV	Monthly	Mar	Light	Energy	137324.879	kWh
Passive Building PV	Monthly	Apr	Light	Energy	129684.4313	kWh
Passive Building PV	Monthly	May	Light	Energy	137324.879	kWh
Passive Building PV	Monthly	Jun	Light	Energy	132528.117	kWh
Passive Building PV	Monthly	Jul	Light	Energy	82044.65185	kWh
Passive Building PV	Monthly	Aug	Light	Energy	82871.54749	kWh
Passive Building PV	Monthly	Sept	Light	Energy	129684.4313	kWh
